Ticker,Event_Date,Surprise_Pct,CAR_20d,Profitable_20d
DUOL,2022-11-10 16:00:00,206.79,-0.2019654313733531,0
ONON,2022-11-16 05:00:00,-37.61,-0.006869511473616585,0
FIVE,2022-11-30 16:00:00,96.26,0.15586202038811747,1
OLLI,2022-12-07 07:00:00,-7.83,-0.11580828468313664,0
RH,2022-12-08 16:00:00,20.56,0.14844448313693748,1
MSFT,2023-01-24 16:00:00,0.21,0.05781567478538008,1
TSLA,2023-01-25 16:00:00,7.2,0.4401965474779498,1
APPF,2023-01-26 16:00:00,60.32,0.13455333708392858,1
LII,2023-01-31 07:00:00,3.09,0.03469874371770565,1
META,2023-02-01 16:00:00,-21.53,0.2897998381115868,1
AAPL,2023-02-02 16:00:00,-3.78,0.07097535599538196,1
DECK,2023-02-02 16:00:00,10.09,0.031025583169925874,1
QCOM,2023-02-02 16:00:00,0.72,-0.08081679646604123,0
CROX,2023-02-16 07:00:00,17.51,0.07371042852762921,1
TXRH,2023-02-16 16:00:00,-13.6,0.08131596195817326,1
WING,2023-02-22 08:00:00,47.57,0.12766449952892278,1
CAKE,2023-02-22 16:00:00,-4.31,-0.06262817654456765,0
CHDN,2023-02-22 16:00:00,-18.65,0.037544396584911044,1
FND,2023-02-23 16:00:00,12.05,-0.031125152714066906,0
DUOL,2023-02-28 16:00:00,650.02,0.43177579447897296,1
SFM,2023-03-02 09:00:00,13.1,0.09464148313166665,1
FIVE,2023-03-15 16:00:00,0.09,-0.00997451296327967,0
ONON,2023-03-21 06:00:00,-65.92,0.4135672978249144,1
OLLI,2023-03-22 07:00:00,6.26,0.14091230888283335,1
RH,2023-03-29 16:00:00,-14.22,-0.023054373762640745,0
TSLA,2023-04-19 16:00:00,-0.43,-0.03663613486240713,0
MSFT,2023-04-25 16:00:00,9.77,0.09769816893072103,1
META,2023-04-26 16:00:00,11.2,0.16662185375369287,1
CHDN,2023-04-26 16:00:00,8.31,0.09339186000277633,1
CROX,2023-04-27 07:00:00,21.06,-0.307326565694812,0
LII,2023-04-27 07:00:00,14.59,0.04782222829181115,1
APPF,2023-04-27 16:00:00,80.0,0.08309713282093889,1
SFM,2023-05-01 16:00:00,-13.99,0.005028999077770657,1
WING,2023-05-03 07:00:00,30.96,-0.05778137775227443,0
QCOM,2023-05-03 16:00:00,-0.24,-0.030404643536531384,0
AAPL,2023-05-04 16:00:00,6.37,0.031620832454892,1
FND,2023-05-04 16:00:00,-1.72,-0.08657761715564338,0
TXRH,2023-05-04 16:00:00,-5.89,-0.024795888840922653,0
DUOL,2023-05-09 16:00:00,82.44,0.2047427219146598,1
CAKE,2023-05-10 16:00:00,3.78,-0.02957350843302753,0
ONON,2023-05-16 05:00:00,59.0,-0.16541404485614786,0
RH,2023-05-25 16:00:00,6.69,0.1014826417760123,1
DECK,2023-05-25 16:00:00,28.65,0.042158772051531845,1
FIVE,2023-06-01 16:00:00,7.0,-0.024006836409570464,0
OLLI,2023-06-07 07:00:00,3.2,0.14965392592613158,1
TSLA,2023-07-19 16:00:00,11.12,-0.18285062154163378,0
MSFT,2023-07-25 16:00:00,5.59,-0.06555243001881406,0
CHDN,2023-07-26 16:00:00,-10.75,-0.0233393651400009,0
META,2023-07-26 16:00:00,2.51,-0.05005981097191392,0
LII,2023-07-27 06:00:00,18.88,0.1142417312838272,1
CROX,2023-07-27 07:00:00,20.58,-0.19860159571256597,0
TXRH,2023-07-27 16:00:00,1.26,-0.07735594242002852,0
DECK,2023-07-27 16:00:00,9.02,0.004403887627862035,1
APPF,2023-07-27 16:00:00,84.62,0.016083540498851523,1
SFM,2023-08-01 16:00:00,3.59,0.04370718433052567,1
WING,2023-08-02 08:00:00,11.13,-0.11469120329046845,0
QCOM,2023-08-02 16:00:00,3.35,-0.05549344245801702,0
CAKE,2023-08-02 16:00:00,7.34,-0.14012355963775536,0
FND,2023-08-03 16:00:00,0.22,-0.09039667075625857,0
AAPL,2023-08-03 16:00:00,5.66,-0.01304580780922393,0
DUOL,2023-08-08 16:00:00,96.76,0.06401889919887116,1
ONON,2023-08-15 05:00:00,-65.96,-0.13772147165828996,0
FIVE,2023-08-30 16:00:00,1.35,-0.11130378763619841,0
OLLI,2023-08-31 07:00:00,9.71,0.11698907980182005,1
RH,2023-09-07 16:00:00,50.97,-0.29383429933320415,0
TSLA,2023-10-18 16:00:00,-9.81,-0.13401362929002225,0
MSFT,2023-10-24 16:00:00,12.85,0.09058112569183174,1
CHDN,2023-10-25 16:00:00,1.11,0.021584246723432954,1
META,2023-10-25 16:00:00,20.9,0.011357686305530579,1
LII,2023-10-26 06:00:00,13.99,0.08228324705945778,1
DECK,2023-10-26 16:00:00,53.7,0.20871454395149525,1
TXRH,2023-10-26 16:00:00,-10.51,0.09437396322873792,1
APPF,2023-10-26 16:00:00,39.15,0.001578363295430818,1
SFM,2023-10-31 09:00:00,2.71,-0.087295385000566,0
WING,2023-11-01 08:00:00,33.19,0.23268269299155186,1
QCOM,2023-11-01 16:00:00,5.93,0.12747832991807695,1
CAKE,2023-11-01 16:00:00,-6.97,-0.004276178830193045,0
